timestamp,norm_min_cpu,norm_max_cpu,norm_avg
1/2/2017 1:40,0.1393,0.1918,0.1655
1/2/2017 1:45,0.1210,0.1734,0.1472
1/2/2017 1:50,0.1079,0.1545,0.1312
1/2/2017 1:55,0.1016,0.1676,0.1346
1/2/2017 2:00,0.1140,0.1523,0.1332
1/2/2017 2:05,0.0963,0.1417,0.1190
1/2/2017 2:10,0.1196,0.1689,0.1442
1/2/2017 2:15,0.1152,0.1591,0.1371
1/2/2017 2:20,0.0774,0.1467,0.1121
1/2/2017 2:25,0.0935,0.1955,0.1445
1/2/2017 2:30,0.0943,0.1592,0.1267
1/2/2017 2:35,0.0797,0.1530,0.1163
1/2/2017 2:40,0.0764,0.1574,0.1169
1/2/2017 2:45,0.0809,0.1351,0.1080
1/2/2017 2:50,0.0721,0.1180,0.0950
1/2/2017 2:55,0.0710,0.1364,0.1037
1/2/2017 3:00,0.0722,0.1278,0.1000
1/2/2017 3:05,0.0615,0.1257,0.0936
1/2/2017 3:10,0.0642,0.1409,0.1025
1/2/2017 3:15,0.0652,0.1398,0.1025
1/2/2017 3:20,0.0505,0.1049,0.0777
1/2/2017 3:25,0.0669,0.1475,0.1072
1/2/2017 3:30,0.0644,0.1277,0.0960
1/2/2017 3:35,0.0665,0.1286,0.0975
1/2/2017 3:40,0.0645,0.1401,0.1023
1/2/2017 3:45,0.0866,0.1384,0.1125
1/2/2017 3:50,0.0896,0.1484,0.1190
1/2/2017 3:55,0.1166,0.1571,0.1369
1/2/2017 4:00,0.0944,0.1336,0.1140
1/2/2017 4:05,0.0700,0.1214,0.0957
1/2/2017 4:10,0.0961,0.1260,0.1110
1/2/2017 4:15,0.0565,0.1330,0.0947
1/2/2017 4:20,0.0499,0.1227,0.0863
1/2/2017 4:25,0.0620,0.1798,0.1209
1/2/2017 4:30,0.0771,0.1438,0.1105
1/2/2017 4:35,0.0599,0.1358,0.0979
1/2/2017 4:40,0.0621,0.1370,0.0995
1/2/2017 4:45,0.0723,0.1336,0.1030
1/2/2017 4:50,0.0557,0.1233,0.0895
1/2/2017 4:55,0.0651,0.1492,0.1071
1/2/2017 5:00,0.0696,0.1491,0.1093
1/2/2017 5:05,0.0807,0.1364,0.1085
1/2/2017 5:10,0.0817,0.1535,0.1176
1/2/2017 5:15,0.0828,0.1369,0.1098
1/2/2017 5:20,0.0833,0.1414,0.1123
1/2/2017 5:25,0.0933,0.1862,0.1398
1/2/2017 5:30,0.0865,0.1572,0.1218
1/2/2017 5:35,0.0751,0.1329,0.1040
